Date,Jackpot,Cash Value,Ticket Info
21-Sep-07,$61 million,,California
31-Aug-07,$330 million,,New Jersey
6-Jul-07,$128 million,,Texas
29-May-07,$44 million,,Florida
11-May-07,$113 million,,California
6-Apr-07,$105 million,,New York
6-Mar-07,$390 million,,New Jersey
9-Jan-07,$125 million,,Texas
1-Dec-06,$40 million,,Ohio
14-Nov-06,$75 million,,Michigan
17-Oct-06,$55 million,,Washington
26-Sep-06,$15 million,,New Jersey
19-Sep-06,$12 million,,New York
15-Sep-06,$163 million,,Georgia
1-Aug-06,$31 million,,New York
18-Jul-06,$49 million,,Maryland
27-Jun-06,$24 million,,Ohio
16-Jun-06,$35 million,,California
2-Jun-06,$47 million,,New Jersey
16-May-06,$94 million,,Texas
18-Apr-06,$265 million,,Ohio
28-Feb-06,$270 million,,Ohio
6-Jan-06,$15 million,,Ohio
30-Dec-05,$88 million,,California
29-Nov-05,$35 million,,California
15-Nov-05,$315 million,,California
16-Sep-05,$258 million,,New Jersey
22-Jul-05,$170 million,,Ohio
3-Jun-05,$106 million,,Ohio
22-Apr-05,$208 million,,Michigan
1-Mar-05,$115 million,,Texas
18-Jan-05,$131 million,,Georgia
3-Dec-04,$25 million,,New Jersey
19-Nov-04,$149 million,,New York
1-Oct-04,$106 million,,Texas
27-Jul-04,$10 million,,New Jersey
23-Jul-04,$47 million,,Michigan
2-Jul-04,$294 million,,Massachusetts
7-May-04,$67 million,,New York
9-Apr-04,$109 million,,Maryland
2-Mar-04,$21 million,,Ohio
20-Feb-04,$239 million,,Virginia
30-Dec-03,$162 million,,Ohio
11-Nov-03,$70 million,,Georgia
7-Oct-03,$12 million,,New Jersey
30-Sep-03,$150 million,,Georgia
8-Aug-03,$50 million,,Georgia
11-Jul-03,$34 million,,New York
20-Jun-03,$183 million,,Maryland
25-Apr-03,$46 million,,New York
28-Mar-03,$20 million,,Maryland
14-Mar-03,$43 million,,New Jersey
18-Feb-03,$12 million,,Alabama
11-Feb-03,$128 million,,New York
24-Dec-02,$68 million,,New York
19-Nov-02,$16 million,,New York
8-Nov-02,$93 million,,Indiana
27-Sep-02,$37 million,,Illinois
6-Sep-02,$17 million,,Michigan
27-Aug-02,$108 million,,New York
16-Jul-02,$165 million,,New York
24-May-02,$12 million,,Illinois
17-May-02,$28 million,,Illinois
